Word,Pknown,FreqZipfUS,Length
aged,1,3.55,4
also,1,5.31,4
arts,1,3.96,4
back,1,6.30,4
band,1,4.72,4
bare,1,3.92,4
bark,1,3.74,4
barn,1,4.13,4
base,1,4.54,4
been,1,6.23,4
belt,1,4.38,4
bill,1,5.07,4
blew,1,4.49,4
body,1,5.29,4
brag,1,3.54,4
bull,1,4.43,4
bust,1,4.44,4
cage,1,4.30,4
cape,1,3.91,4
cave,1,4.14,4
chop,1,4.13,4
clue,1,4.24,4
coma,1,4.08,4
cool,1,5.29,4
copy,1,4.71,4
core,1,3.99,4
crow,1,3.64,4
cube,1,3.47,4
cure,1,4.31,4
dare,1,4.74,4
dish,1,4.05,4
doll,1,4.39,4
dove,1,3.74,4
draw,1,4.60,4
drum,1,3.92,4
duty,1,4.70,4
fact,1,5.23,4
fake,1,4.55,4
feed,1,4.62,4
feet,1,5.08,4
firm,1,4.54,4
fish,1,4.92,4
flow,1,4.13,4
foam,1,3.54,4
folk,1,3.85,4
free,1,5.24,4
fuel,1,4.23,4
gain,1,4.13,4
gang,1,4.47,4
give,1,6.06,4
grab,1,4.84,4
grid,1,3.74,4
hair,1,5.18,4
harm,1,4.50,4
head,1,5.56,4
heat,1,4.60,4
hell,1,5.67,4
help,1,5.96,4
herb,1,3.69,4
hero,1,4.69,4
high,1,5.28,4
hive,1,2.99,4
hold,1,5.63,4
iced,1,3.63,4
inch,1,4.09,4
itch,1,3.62,4
jerk,1,4.51,4
joke,1,4.86,4
jump,1,4.84,4
jury,1,4.63,4
know,1,6.75,4
like,1,6.60,4
link,1,4.07,4
list,1,4.90,4
loan,1,4.29,4
male,1,4.53,4
mass,1,4.23,4
maze,1,3.40,4
meal,1,4.46,4
mess,1,4.89,4
milk,1,4.62,4
mind,1,5.68,4
mock,1,3.73,4
more,1,6.11,4
most,1,5.54,4
neck,1,4.77,4
nice,1,5.81,4
noon,1,4.25,4
numb,1,3.68,4
once,1,5.53,4
open,1,5.50,4
oral,1,3.63,4
oval,1,3.13,4
over,1,6.12,4
pact,1,3.57,4
pass,1,5.03,4
path,1,4.38,4
peak,1,3.77,4
peek,1,3.72,4
pink,1,4.45,4
play,1,5.54,4
plot,1,4.06,4
poet,1,3.96,4
pool,1,4.67,4
pork,1,4.02,4
pure,1,4.39,4
push,1,4.84,4
quit,1,4.95,4
quiz,1,3.69,4
ride,1,5.13,4
rise,1,4.43,4
role,1,4.26,4
roll,1,4.80,4
ruin,1,4.45,4
sack,1,4.11,4
said,1,6.04,4
seed,1,3.87,4
seek,1,4.26,4
seen,1,5.58,4
sell,1,4.96,4
ship,1,4.99,4
sign,1,5.12,4
size,1,4.66,4
sock,1,3.95,4
soon,1,5.41,4
stab,1,3.94,4
sway,1,3.40,4
they,1,6.61,4
thus,1,4.09,4
told,1,5.84,4
tomb,1,3.75,4
trip,1,4.91,4
TRUE,1,5.40,4
tune,1,4.19,4
unit,1,4.55,4
user,1,3.19,4
vase,1,3.58,4
wake,1,5.02,4
wall,1,4.84,4
wave,1,4.32,4
wild,1,4.75,4
wing,1,4.30,4
wink,1,3.54,4
with,1,6.70,4
womb,1,3.54,4
worn,1,4.00,4
zone,1,4.30,4
slim,0.997,4.07,4
hang,0.997,5.16,4
pose,0.997,3.83,4
tart,0.997,3.38,4
text,0.997,3.71,4
dear,0.997,5.34,4
trap,0.997,4.37,4
date,0.997,5.15,4
sage,0.997,3.24,4
wage,0.997,3.49,4
must,0.997,5.84,4
poem,0.997,4.13,4
deny,0.997,4.33,4
sour,0.997,3.76,4
grew,0.997,4.46,4
pull,0.997,5.16,4
post,0.997,4.51,4
tidy,0.997,3.57,4
glow,0.997,3.76,4
cash,0.997,4.85,4
hurt,0.997,5.39,4
frog,0.997,4.07,4
moan,0.997,3.27,4
tone,0.997,4.22,4
noun,0.997,2.73,4
poor,0.997,5.11,4
land,0.997,4.94,4
loud,0.997,4.59,4
comb,0.997,3.78,4
dusk,0.997,3.08,4
fowl,0.997,2.84,4
care,0.997,5.68,4
raft,0.997,3.67,4
sick,0.997,5.21,4
cozy,0.997,3.75,4
hole,0.997,4.76,4
sore,0.997,4.17,4
army,0.997,4.93,4
mill,0.997,3.97,4
data,0.997,4.40,4
foil,0.997,3.09,4
grim,0.997,3.68,4
omen,0.997,3.23,4
plan,0.997,5.16,4
type,0.997,4.78,4
road,0.997,5.04,4
stun,0.997,3.27,4
that,0.997,7.14,4
tile,0.997,3.32,4
howl,0.997,3.31,4
move,0.997,5.62,4
yard,0.997,4.39,4
cult,0.997,3.64,4
knob,0.997,3.39,4
neon,0.997,3.45,4
live,0.997,5.53,4
pick,0.997,5.29,4
shut,0.997,5.42,4
wept,0.997,3.14,4
clap,0.997,3.67,4
drug,0.997,4.65,4
fine,0.997,5.77,4
lost,0.997,5.43,4
mood,0.997,4.53,4
nine,0.997,4.82,4
came,0.997,5.66,4
made,0.997,5.74,4
roar,0.997,3.60,4
snap,0.997,4.24,4
gift,0.997,4.80,4
pint,0.997,3.51,4
wine,0.997,4.78,4
okay,0.997,6.30,4
risk,0.997,4.69,4
soft,0.997,4.50,4
bats,0.997,3.78,4
boot,0.997,4.04,4
cast,0.997,4.36,4
knew,0.997,5.56,4
wife,0.997,5.54,4
blur,0.997,3.33,4
jade,0.997,3.70,4
leak,0.997,4.00,4
port,0.997,4.16,4
puff,0.997,3.64,4
boss,0.997,5.09,4
desk,0.997,4.64,4
dumb,0.997,4.67,4
gene,0.997,4.16,4
ruby,0.997,4.07,4
tiny,0.997,4.50,4
tuna,0.997,3.90,4
book,0.997,5.24,4
fame,0.997,3.93,4
five,0.997,5.45,4
jail,0.997,4.84,4
sing,0.997,4.98,4
skin,0.997,4.64,4
aunt,0.997,4.74,4
fire,0.997,5.33,4
hate,0.997,5.33,4
heap,0.997,3.68,4
hike,0.997,3.81,4
sigh,0.997,3.53,4
epic,0.997,3.37,4
lady,0.997,5.33,4
tame,0.997,3.43,4
mute,0.997,3.39,4
load,0.997,4.46,4
ramp,0.997,3.46,4
dime,0.997,4.08,4
well,0.997,6.47,4
full,0.997,5.22,4
holy,0.997,4.83,4
hard,0.997,5.48,4
pile,0.997,4.11,4
bell,0.997,4.59,4
fall,0.997,5.07,4
soak,0.997,3.53,4
vibe,0.997,3.71,4
duel,0.997,3.37,4
weed,0.997,4.07,4
bold,0.997,3.87,4
cute,0.997,4.94,4
edge,0.997,4.37,4
mate,0.997,4.46,4
news,0.997,5.21,4
suck,0.997,4.54,4
fast,0.997,5.13,4
meat,0.997,4.63,4
sunk,0.997,3.66,4
vast,0.997,3.78,4
wise,0.997,4.45,4
flop,0.997,3.36,4
pity,0.997,4.37,4
twin,0.997,4.01,4
buzz,0.997,4.20,4
fate,0.997,4.43,4
boom,0.997,4.33,4
hush,0.997,3.88,4
slip,0.997,4.41,4
flip,0.997,4.15,4
guts,0.997,4.37,4
shop,0.997,4.72,4
sort,0.997,5.17,4
away,0.997,5.86,4
mile,0.997,4.32,4
code,0.997,4.72,4
jazz,0.997,4.07,4
flat,0.997,4.41,4
item,0.997,4.09,4
slap,0.997,4.09,4
wolf,0.997,4.30,4
pain,0.997,4.99,4
calm,0.997,4.94,4
drip,0.997,3.71,4
lose,0.997,5.21,4
odds,0.997,4.27,4
spit,0.997,4.28,4
kids,0.997,5.47,4
lock,0.997,4.75,4
only,0.997,6.03,4
thin,0.997,4.30,4
torn,0.997,4.03,4
camp,0.997,4.70,4
hull,0.997,3.62,4
lace,0.997,3.57,4
page,0.997,4.57,4
wood,0.997,4.43,4
deal,0.997,5.41,4
file,0.997,4.64,4
food,0.997,5.18,4
girl,0.997,5.74,4
deck,0.997,4.37,4
pale,0.997,3.90,4
wipe,0.997,4.22,4
bump,0.997,4.09,4
fail,0.997,4.39,4
home,0.997,5.88,4
meet,0.997,5.54,4
scan,0.997,3.97,4
tail,0.997,4.37,4
mail,0.997,4.56,4
tint,0.997,2.49,4
dial,0.997,3.94,4
kick,0.997,4.86,4
tide,0.997,3.86,4
sure,0.997,6.04,4
hook,0.997,4.57,4
loaf,0.997,3.65,4
riot,0.997,3.81,4
test,0.997,4.92,4
curl,0.997,3.37,4
rich,0.997,4.90,4
soup,0.997,4.40,4
next,0.997,5.65,4
chip,0.997,4.31,4
keep,0.997,5.84,4
lamp,0.997,4.11,4
hers,0.997,4.19,4
pace,0.997,3.98,4
some,0.997,6.23,4
undo,0.997,3.64,4
knot,0.997,3.56,4
park,0.997,4.85,4
beam,0.997,3.94,4
bean,0.997,3.83,4
blog,0.997,2.82,4
bulk,0.997,3.28,4
goes,0.997,5.33,4
memo,0.997,3.82,4
pond,0.997,3.80,4
town,0.997,5.39,4
yarn,0.997,3.20,4
gaze,0.997,3.40,4
host,0.997,4.17,4
lake,0.997,4.55,4
lion,0.997,4.18,4
sent,0.997,5.13,4
tick,0.997,3.86,4
dead,0.997,5.65,4
hour,0.997,5.20,4
pump,0.997,4.10,4
step,0.997,5.07,4
seat,0.997,4.89,4
stew,0.997,3.80,4
wrap,0.997,4.25,4
area,0.997,4.87,4
love,0.997,6.04,4
neat,0.997,4.09,4
rain,0.997,4.68,4
sale,0.997,4.40,4
snob,0.997,3.34,4
flex,0.997,2.99,4
foot,0.997,4.81,4
glad,0.997,5.23,4
side,0.997,5.30,4
hire,0.997,4.40,4
half,0.997,5.29,4
bite,0.997,4.61,4
junk,0.997,4.18,4
life,0.997,5.90,4
gulp,0.997,2.99,4
iris,0.997,3.72,4
mist,0.997,3.55,4
prey,0.997,3.74,4
ring,0.997,4.96,4
rush,0.997,4.49,4
note,0.997,4.72,4
mine,0.997,5.39,4
tank,0.997,4.40,4
time,0.997,6.29,4
able,0.997,5.20,4
dump,0.997,4.45,4
lump,0.997,3.55,4
lane,0.997,4.52,4
skip,0.997,4.32,4
soda,0.997,4.29,4
poke,0.997,3.76,4
talk,0.997,5.93,4
fear,0.997,4.83,4
flap,0.997,3.42,4
germ,0.997,3.10,4
call,0.997,5.93,4
malt,0.997,3.22,4
much,0.997,5.98,4
term,0.997,4.24,4
pill,0.997,4.07,4
lean,0.997,4.01,4
soap,0.997,4.18,4
lied,0.997,4.64,4
shot,0.997,5.35,4
knee,0.997,4.16,4
gone,0.997,5.47,4
damn,0.997,5.45,4
what,0.997,6.99,4
rack,0.997,3.89,4
bowl,0.997,4.33,4
born,0.997,4.92,4
farm,0.997,4.47,4
TRUE,0.996,5.40,4
daze,0.995,2.75,4
form,0.995,4.63,4
horn,0.995,4.32,4
harp,0.995,3.42,4
clan,0.995,3.61,4
prop,0.995,3.56,4
grow,0.995,4.77,4
hack,0.995,3.93,4
hall,0.995,4.71,4
look,0.995,6.28,4
moth,0.995,3.36,4
slob,0.995,3.55,4
suit,0.995,4.83,4
pear,0.995,3.13,4
